tweet_id,customer_text,gold_intent,predicted_intent,intent_error,generated_reply,relevance,groundedness,helpfulness,safety,historical_grounding,overall_mean,failure_category,failure_priority,low_relevance,low_groundedness,low_helpfulness,low_safety,low_historical_grounding,response_quality_low,gold_escalation,predicted_escalation,escalation_error,unsafe_auto_handle,unnecessary_escalation
2726815,@AmazonHelp How much time to take for diliver,OTHER,DELIVERY_DELAY,True,"I understand your concern. Our specialist team is currently working on your issue, and we appreciate your patience while we look into it. ^GK",2,2,2,3,2,2.2,GROUNDING,25.8,True,True,True,False,True,True,AUTO_HANDLE,ESCALATE,True,False,True
734643,@AmazonHelp This link requires a log in password we have neither please for a contact telephone number and identify an individual to address this please,SUPPORT_COMPLAINT,TECHNICAL,True,"We're sorry for the trouble signing in. At the bottom of the sign-in box, you can click the 'skip sign-in' link to proceed.",2,2,2,3,2,2.2,GROUNDING,23.8,True,True,True,False,True,True,ESCALATE,ESCALATE,False,False,False
1005105,@AmazonHelp Eagerly waiting for my product. Hope you understand it and will take action as soon as possible,DELIVERY_DELAY,DELIVERY_DELAY,False,We're still looking into your concern and will get in touch with you as soon as we receive an update from our concerned team. Appreciate your patience. ^AM,2,2,2,3,2,2.2,GROUNDING,19.8,True,True,True,False,True,True,ESCALATE,ESCALATE,False,False,False
1367395,@118919 It is very sad and disgusting . None.. Amazon flipcart none are delivering to DARJEELING  hill. Feels isolated,DELIVERY_FAILURE,DELIVERY_DELAY,True,I understand your concern about delivery availability. Please feel free to reach out to our support team so we can look into this for you. ^BA,3,5,2,5,3,3.6,UNSAFE_AUTO_HANDLE,19.4,False,False,True,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
2791903,"@AmazonHelp nossa foram muitos o box do death note, vários da darkside como só os animais salvam, ecos, donnie darko, circo mecânico, o ultimo adeus e +, mindhunter, origem do dan brown, mulher maravilha, (r)evolução das mulheres, trono negro e três coroas negras e alguns ebooks ❤️",ORDER_PRODUCT,OTHER,True,Que de superbes lectures! C'est un vrai plaisir de pouvoir profiter de autant de bons livres. Bonnes lectures!,1,5,1,5,3,3.0,RELEVANCE,15.0,True,False,True,False,False,True,AUTO_HANDLE,AUTO_HANDLE,False,False,False
323292,@AmazonHelp Je les ai toutes vu perso deux fois une fois en vostfr et une fois en vf,DIGITAL_CONTENT,OTHER,True,"Nous sommes désolés pour la gêne occasionnée. N'ayant pas accès à votre compte depuis Twitter, nous vous invitons à contacter notre service client par téléphone ou par chat pour obtenir une aide immédiate.",2,4,2,5,3,3.2,RELEVANCE,14.8,True,False,True,False,False,True,AUTO_HANDLE,AUTO_HANDLE,False,False,False
583542,Bought @89677 HT1309 from @115850 now charger not working. Need Help.. https://t.co/HMlePlP5of,ORDER_PRODUCT,TECHNICAL,True,Sorry to hear that! Please reach out to our support team so we can look into this charger issue for you.,5,5,5,5,5,5.0,UNSAFE_AUTO_HANDLE,14.0,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
737158,@AmazonHelp I'm not able to access this link,OTHER,TECHNICAL,True,@AmazonHelp Sorry about that! Could you let us know what error you are getting while trying to access the link?,5,5,5,5,5,5.0,UNSAFE_AUTO_HANDLE,14.0,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
975729,@AmazonHelp But there are not change na....u may put a sake name seller but ur the marketer ur responsible for price,ORDER_PRODUCT,ORDER_PRODUCT,False,I understand your concern regarding pricing and responsibility. I will ensure your feedback is forwarded to the appropriate team internally.,4,4,3,4,4,3.8,UNSAFE_AUTO_HANDLE,11.2,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
89225,"Allez hop, direction @120533. Faisons-nous plaisir. https://t.co/zvNoZt5lll",OTHER,OTHER,False,"Bonjour, navrée pour ce désagrément. Rencontrez-vous un problème particulier avec un service ou une commande ?",2,4,2,5,3,3.2,RELEVANCE,10.8,True,False,True,False,False,True,AUTO_HANDLE,AUTO_HANDLE,False,False,False
1939024,@AmazonHelp I have some now after 5 1/2 hrs trying!,OTHER,OTHER,False,We appreciate your patience and are glad you finally got through! Please let us know if there is anything else we can assist you with.,5,5,4,5,4,4.6,UNSAFE_AUTO_HANDLE,10.4,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
2429453,@AmazonHelp Bonsoir en fait avant de laisser les clients subir il faudrait mieux sélectionner vos vendeurs et services de livraison,SUPPORT_COMPLAINT,SUPPORT_COMPLAINT,False,"Bonjour, nous sommes désolés d'apprendre cela. Pourriez-vous nous en dire plus sur le problème rencontré avec votre livraison ?",4,5,4,5,5,4.6,UNSAFE_AUTO_HANDLE,10.4,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
1470350,@AmazonHelp Ok! Je vais pouvoir commandé sur un autre site. Mais pourquoi ne pas utiliser simplement le service de sécurité des banques?? Dommage,PAYMENT,PAYMENT,False,Nous sommes désolés pour cette expérience. N'hésitez pas à nous contacter directement sur notre site pour toute question concernant vos paiements ou commandes. ^SA,4,5,4,5,5,4.6,UNSAFE_AUTO_HANDLE,10.4,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
2336104,@115821 Your customer service is poor. Why don't you post customer service complaints? Your insurance provider and your service is poor.,SUPPORT_COMPLAINT,SUPPORT_COMPLAINT,False,I'm sorry to hear you've had a poor experience. Could you tell us a little more about what's going on without sharing personal or account information?,5,5,4,5,4,4.6,UNSAFE_AUTO_HANDLE,10.4,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
2361839,Hey @115821 can you hire customer service members that understand what they’re doing k thanks,SUPPORT_COMPLAINT,SUPPORT_COMPLAINT,False,"That's definitely not the experience we want you to have. Without sharing personal details, could you tell us more about what happened so we can help?",5,5,4,5,4,4.6,UNSAFE_AUTO_HANDLE,10.4,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
1306038,"@AmazonHelp Thank you, I'm already in progress for return and I hope a refund. I just hope it doesn't get resent out to someone else.",RETURN,RETURN,False,"We're glad to hear that your return and refund are in progress. Thank you for keeping us updated, and please let us know if you need any further assistance! ^SB",5,5,4,5,5,4.8,UNSAFE_AUTO_HANDLE,10.2,False,False,False,False,False,False,ESCALATE,AUTO_HANDLE,True,True,False
